"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"Age","0","1","2","3","4","5","6","7","8","9","10+","Total","women","ever born","children"
"","","","","","","","ALL","WOMEN","","","","","","",""
"15-19","85.3","12.1","2.3","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","100.0","5,820","0.18","0.17"
"20-24","35.3","32.6","21.4","7.9","2.3","0.3","0.1","0.0","0.0","0.0","0.0","100.0","5,735","1.11","1.05"
"25-29","11.5","24.0","26.2","19.2","11.5","4.9","1.9","0.7","0.1","0.0","0.0","100.0","6,100","2.22","2.09"
"30-34","3.7","11.3","23.0","22.8","16.3","9.9","6.9","4.1","1.5","0.3","0.3","100.0","4,510","3.27","3.07"
"35-39","3.3","6.7","15.0","19.6","16.1","13.5","10.0","7.1","5.0","2.3","1.5","100.0","3,773","4.13","3.81"
"40-44","2.6","4.7","10.2","15.5","15.5","14.0","12.6","10.0","6.7","3.7","4.6","100.0","2,885","4.85","4.40"
"45-49","1.9","3.8","9.8","12.9","15.0","13.2","11.9","10.8","7.8","5.0","7.9","100.0","2,257","5.27","4.73"
"Total","26.1","16.2","16.3","13.3","9.5","6.3","4.6","3.3","2.0","1.0","1.2","100.0","31,079","2.48","2.29"
"","","","","","","CURRENTLY","MARRIE","D WOMEN","","","","","",NA,NA
"15-19","31.6","51.5","15.5","1.4","0.1","0.0","0.0","0.0","0.0","0.0","0.0","100.0","695","0.87","0.84"
"20-24","12.5","36.9","33.2","12.8","3.8","0.5","0.2","0.0","0.0","0.0","0.0","100.0","3,133","1.61","1.51"
"25-29","5.0","21.1","28.9","22.1","13.5","6.1","2.4","0.8","0.1","0.0","0.0","100.0","4,556","2.51","2.37"
"30-34","1.5","8.0","22.1","23.9","17.9","11.3","8.1","4.7","1.8","0.3","0.3","100.0","3,566","3.54","3.32"
"35-39","0.9","4.1","13.2","20.9","16.9","14.4","11.2","7.9","5.9","2.7","1.6","100.0","2,894","4.46","4.12"
"40-44","1.5","2.2","8.2","15.4","16.0","14.9","13.2","11.6","7.2","4.3","5.5","100.0","2,091","5.19","4.73"
"45-49","0.9","1.9","8.0","12.1","15.5","13.4","12.8","11.0","8.7","5.5","10.1","100.0","1,615","5.65","5.06"
"Total","5.2","15.9","21.2","18.3","13.2","8.9","6.5","4.6","2.9","1.5","1.8","100.0","18,549","3.37","3.12"
