"V1","V2","V3","V4"
"Table 5.15 Induced abortion rates",NA,NA,NA
"Age-specific and total induced abortion rates, and general abortion rates, for the 3 years before the survey, according to residence, Kenya DHS 2022",NA,NA,NA
"Residence",NA,NA,NA
"Age group","Urban","Rural","Total"
"10–14","[0]","[0]","[0]"
"15–19","1","1","1"
"20–24","2","2","2"
"25–29","1","0","0"
"30–34","0","1","1"
"35–39","1","0","1"
"40–44","[0]","[0]","[0]"
"TAR(15–49)","0.0","0.0","0.0"
"GAR","1","1","1"
"Notes: Age-specific induced abortion rates are per 1,000 women. Estimates in brackets are truncated. Rates are for the period 1–36 months before the interview. Rates for the 10–14 age group are based on retrospective data from women age 15–17.TAR: Total induced abortion rate expressed per woman.GAR: General induced abortion rate expressed per 1,000 women age 15–44.",NA,NA,NA
