"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"Table 5.5 Birth intervals","","","","","","","","",""
"Percent distribution of non-first births in the 5 years before the survey by number of months since preceding birth, and median number of months since preceding birth, according to background characteristics, Kenya DHS 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Background characteristic","","Months since preceding birth","","","","Number of non-first births","Median number of months since preceding birth",NA,NA
"","7–17","18–23","24–35","36–47","48–59","60+","Total","",""
"Mother’s age","","","","","","","","",""
"15–19","18.5","22.1","36.9","19.3","2.3","1.0","100.0","87","27.3"
"20–29","8.7","13.1","26.7","20.3","13.5","17.7","100.0","5,172","36.6"
"30–39","5.4","8.2","20.8","15.2","12.2","38.3","100.0","5,754","48.4"
"40–49","4.1","7.8","17.4","13.1","11.6","46.0","100.0","1,167","55.4"
"Sex of preceding birth","","","","","","","","",""
"Male","7.2","10.2","23.5","16.6","12.9","29.7","100.0","6,043","42.3"
"Female","6.3","10.5","22.7","17.8","12.4","30.2","100.0","6,137","41.9"
"Survival of preceding birth","","","","","","","","",""
"Living","5.7","10.2","23.2","17.3","13.0","30.7","100.0","11,603","43.0"
"Dead","29.2","13.6","20.9","15.4","5.2","15.7","100.0","577","26.6"
"Birth order","","","","","","","","",""
"2–3","6.3","9.5","19.3","18.1","13.7","33.2","100.0","7,207","45.8"
"4–6","6.6","10.2","27.3","15.7","11.9","28.2","100.0","3,845","39.9"
"7+","10.7","16.2","33.1","16.4","8.5","15.2","100.0","1,128","31.4"
"Residence","","","","","","","","",""
"Urban","6.5","9.7","17.6","17.1","12.6","36.4","100.0","4,187","47.4"
"Rural","6.9","10.7","25.9","17.2","12.6","26.6","100.0","7,993","39.6"
"Mother’s education1","","","","","","","","",""
"No education","11.9","16.9","36.5","17.0","6.6","11.0","100.0","1,621","29.7"
"Primary","6.4","10.2","24.4","16.2","12.6","30.1","100.0","5,466","41.9"
"Secondary","5.7","8.8","17.9","18.1","14.4","35.1","100.0","3,384","47.6"
"More than secondary","5.2","7.6","16.4","18.5","15.0","37.4","100.0","1,709","49.6"
"Wealth quintile","","","","","","","","",""
"Lowest","9.0","13.8","34.0","18.2","10.4","14.6","100.0","3,136","32.9"
"Second","7.1","10.9","23.2","17.8","13.8","27.1","100.0","2,272","41.2"
"Middle","5.8","8.6","23.4","16.8","12.2","33.2","100.0","2,157","44.1"
"Fourth","6.1","9.0","16.2","16.1","13.4","39.2","100.0","2,190","49.8"
"Highest","4.9","8.1","14.8","16.6","14.1","41.4","100.0","2,425","51.9"
"Total","6.8","10.3","23.1","17.2","12.6","30.0","100.0","12,180","42.1"
"Note: First-order births are excluded. The interval for multiple births is the number of months since the preceding pregnancy that ended in a live birth.1 No education includes informal education (madrassa/duksi/adult education), and more than secondary includes middle-level colleges and universities. Secondary includes individuals who reported vocational training as the highest education level attended.",NA,NA,NA,NA,NA,NA,NA,NA,NA
