"V1","V2","V3","V4"
"Background characteristic","Postpartum amenorrhoea","Postpartum abstinence","Postpartum insusceptibility1"
"Mother’s age","","",""
"15-29","5.6","3.3","7.8"
"30-49","9.3","2.3","9.9"
"ResidenceUrban","4.3","2.9","5.1"
"Rural","8.7","3.0","10.8"
"RegionCoast","7.9","3.4","9.3"
"North Eastern","5.4","2.8","8.2"
"Eastern","4.3","3.4","6.1"
"Central","4.8","*","4.9"
"Rift Valley","8.8","3.8","11.2"
"Western","5.3","*","10.8"
"Nyanza","7.5","(2.0)","9.4"
"Nairobi","*","*","*"
"EducationNo education","10.7","3.7","12.0"
"Primary incomplete","9.6","2.9","11.1"
"Primary complete","5.5","2.7","6.9"
"Secondary+","4.3","3.0","5.4"
"Wealth quintileLowest","10.9","3.5","12.3"
"Second","7.3","2.6","10.7"
"Middle","6.1","2.7","10.5"
"Fourth","5.1","2.8","5.8"
"Highest","4.0","2.9","4.5"
"Total","6.2","3.0","8.6"
