"V1","V2","V3","V4","V5"
"Table 5.3.1 Trends in age-specific fertility rates",NA,NA,NA,NA
"Age-specific fertility rates for 5-year periods before the survey, according to age group, Kenya DHS 2022",NA,NA,NA,NA
"Number of years before survey",NA,NA,NA,NA
"Age group","0–4","5–9","10–14","15–19"
"10–14","[2]","4","11","11"
"15–19","74","88","115","121"
"20–24","182","191","213","214"
"25–29","177","182","209","223"
"30–34","142","148","178","[200]"
"35–39","90","102","[126]","*"
"40–44","36","[50]","*","*"
"45–49","[7]","*","*","*"
"Notes: Age-specific fertility rates are per 1,000 women. Estimates in brackets are truncated. Rates exclude the month of interview. For the 0–4 year period, rates for the 10–14 age group are based on retrospective data from women age 15– 19.",NA,NA,NA,NA
