"V1","V2","V3","V4"
"","","Percentage of","Mean number of children"
"","Total fertility","women age 15-49 currently","ever born to women age"
"County","rate","pregnant","40-49"
"Coast","4.3","6.6","5.5"
"Mombasa","3.2","5.4","4.1"
"Kwale","4.7","7.5","5.8"
"Kilifi","5.1","7.1","6.4"
"Tana River","5.8","10.2","7.4"
"Lamu","4.3","5.6","5.0"
"Taita Taveta","3.2","3.7","4.3"
"North Eastern","6.4","12.0","7.1"
"Garissa","6.1","11.7","6.8"
"Wajir","7.8","13.6","7.9"
"Mandera","5.2","10.6","6.4"
"Eastern","3.4","4.6","4.7"
"Marsabit","5.0","12.7","6.0"
"Isiolo","4.9","6.2","6.1"
"Meru","3.1","4.8","4.3"
"Tharaka-Nithi","3.4","4.4","4.3"
"Embu","3.1","4.5","4.1"
"Kitui","3.9","4.1","5.3"
"Machakos","3.4","3.9","4.3"
"Makueni","3.3","4.0","5.5"
"Central","2.8","4.8","3.7"
"Nyandarua","3.5","6.0","4.8"
"Nyeri","2.7","4.8","3.3"
"Kirinyaga","2.3","4.1","3.4"
"Murang’a","3.0","4.3","3.9"
"Kiambu","2.7","5.0","3.6"
"Rift Valley","4.5","7.0","5.5"
"Turkana","6.9","10.6","6.4"
"West Pokot","7.2","10.7","6.4"
"Samburu","6.3","11.6","6.5"
"Trans-Nzoia","5.2","6.3","6.6"
"Uasin Gishu","3.6","8.4","5.3"
"Elgeyo Marakwet","4.1","5.9","5.8"
"Nandi","4.0","4.8","6.1"
"Baringo","4.8","7.8","6.2"
"Laikipia","3.7","7.9","4.9"
"Nakuru","3.7","5.3","4.7"
"Narok","6.0","10.2","6.7"
"Kajiado","4.5","7.7","4.3"
"Kericho","4.0","5.7","5.0"
"Bomet","4.3","5.5","5.7"
"Western","4.7","6.7","6.1"
"Kakamega","4.4","7.3","5.4"
"Vihiga","4.5","6.2","5.3"
"Bungoma","5.0","6.2","6.9"
"Busia","4.7","6.8","6.5"
"Nyanza","4.3","5.9","5.8"
"Siaya","4.2","5.9","5.9"
"Kisumu","3.6","5.3","5.6"
"Homa Bay","5.2","6.4","6.2"
"Migori","5.3","9.0","7.0"
"Kisii","3.7","5.0","5.1"
"Nyamira","3.5","3.2","4.7"
"Nairobi","2.7","6.8","3.1"
"Total","3.9","6.3","5.0"
